Calibration Parameters,Grasped?,Hardware Synchronised,Notes,Object,Reviewed for Upload?,Session Number,Video Date
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"A single ant interacts with the seed, sensing using the antennae. The ant searches along the seed and traces the mandibles along the seed surface, as it manipulates the seed using its fore and mid legs. The thorax can be seen curling under the body of the ant. The ant leaves without making any grasp attempts. ",Nyjer,Yes,2,2024/09/05 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"Several ants walk through the scene but only one makes antennal contact with the seed, briefly, before walking off.",Nyjer,Yes,3,2024/09/05 16:16 (GMT+1)
Yes,❌ - No Contact With Object,Yes,"Ant walks through, short and not useful.",Nyjer,No,4,2024/09/05 16:16 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"A single ant interacts with the seed, sensing and manipulating it using its forelegs but making no grasp attempt before walking away.",Nyjer,Yes,5,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"One ant crawls across the object, but a larger ant arrives at 0:22 and senses and manipulates the seed using forelimbs and mandibles before picking the object up and walking away.",Nyjer,Yes,6,2024/09/05 16:16 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,Ant walks over the seed and pulls the seed using its fore and midlegs. The ant traces the mandibles along the edge of the seed and senses along the seed with the antennae. The ant does not attempt any grasp and walks away.,Nyjer,Yes,8,2024/09/05 16:16 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,The video starts with the ant interacting with the seed. The ant climbs onto the seed while sensing it with the antennae but does not attempt to pinch the seed and the amount of movement caused by manipulation is minimal and foreleg contact may improve stabilisation rather than be useful for active pulling of the seed.,Nyjer,Yes,9,2024/09/05 16:16 (GMT+1)
Yes,✅ - Grasped + Dropped,Yes,"The first ant senses an object and manipulates it using its forelegs and mandibles. A second ant senses the object with its antennae and then leaves. The first ant grasps and lifts the object, dragging it away.",Nyjer,Yes,10,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Ant comes into frame at 0:22 and senses and manipulates the object using antenna, forelimbs and mandibles before picking the object up and carrying it away.",Nyjer,Yes,11,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"The first section shows the experimenter rearranging the seed. The first ant senses the object using its antennae and also manipulates the object using its forelimbs. It attempts to grasp the object and then walks away. A larger ant approaches and senses the object using its antennae, then walks away. Another ant senses and manipulates the object without grasping it. The final ant senses and manipulates the object before it picks it up and walks away. It is unclear from the video whether all the ants mentioned in the description are distinct.",Nyjer,Yes,12,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Ant senses the object, and manipulates it using its forelimbs to drag the object under the ants body then grasps the object and levers it out of frame. The ant walks through the frame shortly after with the object in its mandibles.",Nyjer,Yes,13,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"First ant interacts with the object at 0:17. It senses the object using antennae and mouthparts, then manipulates the object using the forelegs. Another ant arrives and senses the object before the first ant walks away. The second ant uses its mandibles and forelegs to manipulate the object, making multiple grasp attempts before lifting and carrying the object away.",Nyjer,Yes,17,2024/09/05 16:16 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"The video begins mid-interaction, where an ant is sensing the seed. A larger ant approaches as the first ant leaves and begins to interact with the seed. The ant holds the seed with its forelegs as it uses its antennae to sense the seed but it does not make any grasp attempt.",Nyjer,Yes,18,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,A single ant senses the seed using antennae then manipulates it with the forelimbs and mandibles while searching for a grasp location. By 0:08 it grasps the object and carries the seed away.,Nyjer,Yes,19,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Although there are multiple ants in the scene, only one ant interacts with the seed by quickly sensing then grasping it. The object is out of frame when lifted. Ant carries the seed away.",Nyjer,Yes,20,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Single ant senses a seed using its antennae and mandibles then quickly grasps and drags the object out of frame.,Nyjer,Yes,21,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"First ant moves into the scene and senses the object, also manipulating it with the forelimbs. Another ant arrives shortly after to sense the object simultaneously but does not manipulate it. A third ant senses the object and leaves without manipulating it. A fourth ant arrives and senses the object, and manipulates it using forelegs before it grasps using the mandibles and carries the seed away.",Nyjer,Yes,22,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"The first ant to encounter the seed spends the full duration sensing and manipulating the seed, turning the seed around multiple times before grasping it and dragging then lifting the seed away.",Nyjer,Yes,23,2024/09/05 16:16 (GMT+1)
Yes,❌ - No Contact With Object,Yes,"Single ant walks through the scene, no sensing or grasping.",Nyjer,No,24,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"First ant senses the object using its antennae then walks over the seed as it leaves. The second ant senses the object with the mandibles as well as antennae and forelimbs and makes some grasp attempts, lifting the seed off the ground then lowering the seed again without walking. At 0:33 a larger ant begins interacting with the seed and attempts to grasp it at the same time as the second ant. The larger ant manipulates the seed using its forelegs and grasps the object using the mandibles and lifts the seed off the ground. This larger ant spends a few frames cleaning itself before carrying the seed away.",Nyjer,Yes,26,2024/09/05 16:16 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"First ant approaches the seed with mandibles wide open then relaxes as it gets nearer to the seed. This ant uses its forelegs to pull the seed towards the body as the mandibles pinch along the edge of the seed, while the antennae also tap and drag along the seed. The ant also uses its mid-legs to hold or manipulate the seed. It cleans its antennae while standing over the seed then walks away. Multiple other ants enter the frame during the video but no others interact with the seed.",Nyjer,Yes,27,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Multiple ants in scene, the first ant to interact with the seed senses around the seed and cleans its antenna. The second ant comes to sense the seed as if to grasp then the first ant picks up the object, interacts with other ants and cleans its antenna then walks away.",Nyjer,Yes,28,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Multiple ants in scene, smaller ant senses object using its antennae and manipulates object with its fore and mid-legs before picking it up and walking off. Interacts with a larger ant on the way out of frame.",Nyjer,Yes,29,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Single large ant senses the object and manipulates it using the forelegs and the mandibles before carrying away. Another ant walks through the scene.,Nyjer,Yes,30,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Multiple ants in the scene. Multiple ants sense the seed and the second ant rolls the seed away (taking it forcefully from the first ant),Mustard Seed,No,31,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Multiple ants interacting with seed, but first ant rolls the seed away.",Mustard Seed,No,32,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,First ant quickly senses the seed and rolls it out of the scene. A second ant rolls another existing seed through the scene. Video is longer than necessary.,Mustard Seed,No,33,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Large ant senses round scene for an extended period, and another two ants senses the object while this is happening. The larger ant slowly rolls the seed backwards, but generally rotates the seed with the forelimbs for nearly 2 minutes. The ant continues to manipulate the seed outside of frame then returns to the frame and more smaller ants come and sense the seed. The seed is eventually rolled away.",Mustard Seed,No,34,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Small ant senses the seed then rolls it away. Another ant passes through the scene.,Mustard Seed,No,35,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Small ant senses the seed then rolls it away. Rolls it through the scene for a small duration. ,Mustard Seed,No,36,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Small ant senses the seed then rolls it away. Other ants pass through the scene.,Mustard Seed,No,37,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Small ant senses the seed then rolls it away. Rotates and manipulates the seed for a while and attempts to grasp the object but generally does not succeed. Drags the object out of the scene.,Mustard Seed,No,38,2024/09/05 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant senses the seed briefly but does not grasp it or drag it away.,Mustard Seed,No,39,2024/09/05 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant senses the seed briefly but does not grasp it or drag it away.,Mustard Seed,No,41,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Ant senses the seed and rolls it away.,Mustard Seed,No,42,2024/09/05 16:16 (GMT+1)
Yes,❌ - No Contact With Object,Yes,Ant barely touches the seed and walks away.,Mustard Seed,No,43,2024/09/05 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant senses seed and another walks directly over the seed. Multiple ants sense the seed but none take the seed.,Mustard Seed,No,47,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Ant senses seed and quickly rolls it away.,Mustard Seed,No,48,2024/09/05 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant senses object but does not grasp.,Mustard Seed,No,49,2024/09/05 16:16 (GMT+1)
Yes,❌ - No Contact With Object,Yes,Ant senses object but does not grasp. Barely any contact.,Mustard Seed,No,50,2024/09/05 16:16 (GMT+1)
Yes,❌ - No Contact With Object,Yes,Ants walk through the scene but do not touch the object.,Mustard Seed,No,51,2024/09/05 16:16 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,Ant senses the object and manipulates it but does not grasp or drag it away.,Mustard Seed,No,52,2024/09/05 16:16 (GMT+1)
Yes,❌ - No Contact With Object,Yes,Ant walks through scene and does not interact with the object.,Mustard Seed,No,53,2024/09/05 16:16 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,Ant senses the object and manipulates it but does not grasp or drag it away. Multiple ants walk through the scene and sense the environment.,Mustard Seed,No,54,2024/09/05 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant briefly touches object. Does not carry it away.,Mustard Seed,No,55,2024/09/05 16:16 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Ant briefly touches object. Another ant senses the seed then drags it away.,Mustard Seed,No,56,2024/09/05 16:16 (GMT+1)
Yes,✅ - Grasped + Dropped,Yes,"Ant senses, crawls over then bites the shape. It attempts to manipulate it in different body positions. The ant drops the object then continues to search the surface, with the antennae and crawling over, before walking away.",Wedge - PLA - Dry Cat Food,Yes,1,2024/09/25 15:57 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,Ant enters the frame at approximately 30 seconds in. It senses the object using antennae and making small bites. It does not grasp or pick up the object and walks off.,Wedge - PLA - Dry Cat Food,Yes,3,2024/09/25 15:57 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant moves into frame at approximately 11 seconds. It senses the object. There is a slight disturbance to one of the cameras and the video shakes. The ant walks off without attempting to pinch or grasp the object.,Wedge - PLA - Dry Cat Food,Yes,6,2024/09/25 15:57 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"Multiple ants sense the object. Neither ant pinches the object, but both sense using legs and antennae. The level of focus in camera 0 is poor.",I-Beam - PLA - Dry Cat Food,Yes,7,2024/09/25 15:57 (GMT+1)
Yes,❌ - No Contact With Object,Yes,"A single ant enters the scene, senses the ground but leaves without contacting the object.",I-Beam - PLA - Dry Cat Food,Yes,8,2024/09/25 15:57 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"A single ant senses the object briefly, climbing onto it. It is unclear whether it attempts to pinch the object with mandibles, but it does not grasp.",Wedge - PLA - Dry Cat Food,Yes,9,2024/09/25 15:57 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"Ant senses the ground and then climbs onto and over the object, attempting to pinch it with the mandibles. The object moves from either the weight of the ant or attempted manipulation. The ant stops sensing and cleans the antenna before walking off.",Wedge - PLA - Dry Cat Food,Yes,11,2024/09/25 15:57 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"Multiple ants walk through the scene. One crawls on top of the object, sensing and possibly tasting the object using its mouthparts before walking off. Another ant climbs over the object and makes some attempts to pinch the object and even lift while the ant is on top of the object. The ant eventually drags the shape out of the scene.",Wedge - PLA - Dry Cat Food,Yes,12,2024/09/25 15:57 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"The object is initially pushed by the experimenter using tweezers. An ant then walks in to the frame, and quickly attempts to pinch the shape. The ant climbs over the object making repeated pinching actions on the object. Another ant begins to sense and pinch the object using the mandibles while the first ant walks off. A third ant also climbs over the object.  No ant grasps the object.",I-Beam - PLA - Dry Cat Food,Yes,13,2024/09/25 15:57 (GMT+1)
Yes,✅ - Grasped + Dropped,Yes,"The object is initially pushed by the experimenter using tweezers. Ant first enters the scene at approximately 36 seconds. It senses and climbs on the object while making contact with the mandibles, it makes a number of pinching motions while holding the object using the mid-legs. It tries to grasp and manipulate the object while stood on top, then stops to find another grasp location. The ant cleans its antennae then leaves the scene.",I-Beam - PLA - Dry Cat Food,Yes,14,2024/09/25 15:57 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,"The object is moved in the scene while an ant senses it. A second ant arrives, senses and grasps the object but does not carry it. A third ant senses without pinching while the second ant grasps and drags the object away.",Wedge - PLA - Wet Cat Food,Yes,1,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Two ants sense the object simultaneously. A third arrives and appears to sense the object using its mouthparts. No ant picks up the object or pinches it.,Wedge - PLA - Wet Cat Food,Yes,3,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"One ant slowly approaches the object, and senses it using antennae. It moves so that legs are in contact with the object, and appears to use mouthparts to sense the object, but does not pinch. It does not grasp the object.",Wedge - PLA - Wet Cat Food,Yes,4,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"Object is pushed by the researcher at first, then a single ant approaches the object, senses it without pinching then walks away.",Wedge - PLA - Dry Cat Food,Yes,8,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant approaches object and senses using the antenna. It climbs over the object and senses it using mouth parts but does not pinch or grasp before walking off.,Wedge - PLA - Dry Cat Food,Yes,11,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,An ant climbs over the object while sensing but the video is short and there is minimal interaction.,Wedge - PLA - Dry Cat Food,Yes,12,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"Ant walks up to the object and climbs over it, using antenna and mouthparts to sense. It walks off without pinching or grasping.",Wedge - PLA - Dry Cat Food,No,13,2024/09/25 16:16 (GMT+1)
Yes,❌ - No Contact With Object,Yes,Ant senses the ground before walking away.,Wedge - PLA - Dry Cat Food,Yes,14,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,An ant climbs over the object while sensing but the video is short and there is minimal interaction.,Wedge - PLA - Dry Cat Food,Yes,15,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant approaches object and senses using the antenna. It lifts its forelimbs onto the object and senses it using mouth parts but does not pinch or grasp before walking off. It returns to sense the object more then leaves.,Wedge - PLA - Dry Cat Food,No,16,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant approaches object and senses using the antenna. It climbs over the object slowly but does not pinch or grasp before walking off. Another ant briefly makes contact with the object using the antennae.,Wedge - PLA - Dry Cat Food,No,17,2024/09/25 16:16 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,Ant very briefly makes contact with the object using the antennae then leaves.,Wedge - PLA - Dry Cat Food,Yes,18,2024/09/25 16:16 (GMT+1)
Yes,✅ - Grasped + Dropped,Yes,"Video starts part way through an interaction. This ant is climbing over the object and sensing with the antennae and mouthparts. It drags the object using a single leg while still standing on the object. It drops the object, re-grasps and drags further. The ant continues to make multiple grasp attempts before walking away without the object.",Wedge - PLA - Dry Cat Food,Yes,19,2024/09/25 16:16 (GMT+1)
Yes,✅ - Grasped + Dropped,Yes,Ant walks over object while sensing it with antenna and mouthparts. It walks away without pinching or grasping.,Wedge - PLA - Wet Cat Food,Yes,20,2024/09/25 16:16 (GMT+1)
Yes,✅ - Grasped + Dropped,Yes,Ant walks over object while sensing it with antenna and mouthparts. This ant may use the mandibles to pinch the object but it is not clear.,Wedge - PLA - Wet Cat Food,Yes,21,2024/09/25 16:16 (GMT+1)
Yes,✅ - Grasped + Dropped,Yes,"Long Video. Multiple ants approach, crawl over and sense the object. Many using the mouthparts under the mandibles, perhaps drinking any liquid possible from the object. One of the ants attempts to pinch the ring but it did not successfully grasp the object. Another ant makes sequential attempts to pinch the object around the ring’s circumference. One ant pinches and grasps the ring but does not manage to move the object, it then continues to move around the ring perimeter continuing to make pinching motions around the objects edge then walking away when it encounters another ant. Two more ants making pinching action around the circumference of the shape, following its edge. Eventually one of the ants successfully initiates movement of the object while two other ants are crawling over the object. The ants continue to manipulate the object, but not in the view of all cameras.",Ring - PLA - Wet Cat Food,Yes,25,2024/09/25 16:16 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. Ant senses a dandelion seed up and down the object. The ant walks over a large grass seed to reach another dandelion seed and makes an attempt to grasp it, making multiple pinches along the length. It does sense the large grass seed then demonstrates grooming behaviour before walking away. Other ants walk in and out of the scene. ",Dandelion seed,Yes,0,2024/07/25 16:30 (GMT+1)
No,❌ - Sensed - Not Manipulated,No,"Not Synchronised Video. A small ant walks into the scene, cleans the forelegs and antenna then senses a dandelion seed up and down but does not grasp. The ant also senses a grass seed and other seeds in the pile but walks away without grasping.",Dandelion seed,Yes,1,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At the start of the video, an ant senses a grass seed. The researcher adjusts the pile of seeds using tweezers to move them into centre frame. At 0:28 an ant walks through the scene. At 1:16 an ant manipulates with its forelegs and pinches a Nyjer seed. The ant moves over a grass seed then cleans the forelegs and antennae. The ant then senses a dandelion seed before walking away.",Nyjer,Yes,3,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. Three ants walk in at 0:39, 1:01 and 1:08 respectively and leave with minimal interaction. The ant of interest enters at 1:10, where it senses and manipulates a Nyjer seed, using its legs and mandibles. That ant also senses a grass seed then walks away.",Nyjer,Yes,4,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. The ant of interest enters view at 1:19, sensing the ground with the antennae then sensing a Nyjer seed, but this action is not visible in all frames. The ant moves to sense and manipulate a lump of pollen but does not pinch it. It senses a large grass seed, moving the mandibles along its edge and manipulates the seed with its legs briefly. Then the ant grooms its antennae before sensing the grass seed for a short time longer then walks away.",Nyjer,Yes,5,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. One ant in the video, it approaches the seed, senses it using its antennae and manipulates it using its forelegs causing the seed to move. The ant touches its mandibles to the seed but does not pinch. The ant leaves without attempting to grasp.",Oat,Yes,12,2024/07/25 15:28 (GMT+1)
No,✅✅ - Grasped and Carried Away,No,"Not Synchronised Video. At 0:03, a large ant walks into the scene and taps different dandelion seeds with its antennae, then taps a mustard seed. It uses its forelegs to pull at the mustard seed and makes contact with it using the mandibles, while continuing to tap it with the antennae. This ant walks away without grasping, and walks over the pile of seeds to another dandelion seed that it senses using the antennae and touches with the mandible tips but then walks away. When the ant stops sensing the seed, the range of antennal motion widens and it senses the ground. At 0:10, a smaller ant walks to the pile of seeds and senses a large flat seed with its antennae then a dandelion seed. It opens its mandibles and touches them to the seed, pinching, and using the forelegs to manipulate the seed. The ant moves its mandibles up to the wider end of the seed then continues to rotate then manipulate the seed tracing with the mandibles back towards the thinner tip of the seed. The ant falls over while manipulating the object. Then the ant uses its legs to raise the seed and out of view of the camera grips it in the mandibles then carries the seed away.",Dandelion seed,Yes,33,2024/07/25 15:28 (GMT+1)
